id	offset	lines	chars	max_line_cells	japanese	english	notes
54	0x003d8c	3	24	10	フフッ、素敵な答えね\nでも、はずれ\n答えは『精霊』よ		
55	0x003dd6	2	25	14	どこにでもいるんだけど\n触れることはできないでしょ？		
56	0x003e14	1	9	9	わたしの近くにも？		
57	0x003e30	3	17	10	ええ\nこの店には\n働き者の精霊がいるわ		
58	0x003e60	1	11	11	やっぱり、ここでしたか		
59	0x003e80	1	2	2	誰？		
60	0x003e8e	3	31	15	ハジメ\n渋谷のストリート・ギャング\nメタル・ラビリンスのメンバーさ		
61	0x003eda	2	14	11	どうも\nよろしくお見知りおきを		
62	0x003f02	2	15	11	で、そのギャングさんが\n何の用？		
63	0x003f2c	3	19	10	いやあ\n実は、困ってることが\nあるんですよ		
64	0x003f5a	2	12	9	それで\n力をお借りしたくて		
65	0x003f7e	3	17	6	言っておくが\n用心棒なら\nお断わりだぜ		
66	0x003fae	1	2	2	……		
67	0x003fbc	3	20	10	ねえ\n渋谷の辻斬り事件って\n聞いたことある？		
68	0x003ff2	3	25	12	ああ\nギャングのメンバーばかり\n狙われたってやつですね		
69	0x004032	1	12	12	それがどうかしましたか？		
70	0x004054	2	17	12	その事件で\n噂とか聞いたことはない？		
71	0x004082	3	19	8	みんな\n好き勝手なことを\n言ってますからね		
72	0x0040b0	2	20	12	データネットでも\n当たってみたらどうです？		
73	0x0040e4	2	14	7	いかがですか？\n仕事の調子は？		
74	0x00410c	1	7	7	何があったんだ		
75	0x004124	3	25	10	実は、ウチの縄張りで\n立て続けに\n人が殺されてるんです		
76	0x004164	3	23	12	いま噂になってる\n渋谷の\n『辻斬り』事件ってやつ？		
77	0x0041a0	3	24	11	そう、そいつです\nその犯人を\n倒してもらいたいんです		
78	0x0041de	2	13	8	頼む相手が\n違うんじゃないか		
79	0x004204	3	15	9	確かにな\nなぜ\n警察にまかせない？		
80	0x004230	3	24	11	俺たちが動かなくても\n犯人を\n見つけてくれるだろうさ		
81	0x00426e	1	8	8	それはできません		
82	0x004282	3	21	10	コトは\n俺たちのメンツに\nかかわってるんですよ		
83	0x0042b4	3	30	12	警察の手を借りるようじゃ\n殺されたメンバーに\nしめしがつきません		
84	0x0042fe	3	27	13	しかし\nかたきを討つためだけに\n俺たちを雇うっていうのか？		
85	0x004342	2	13	8	さすがは六堂さん\n鋭いですね		
86	0x004362	2	16	9	ご存じのとおり\n俺たちには敵が多い		
87	0x004388	3	23	12	犯人は\n俺たちに恨みがある奴だと\n踏んでるんですよ		
88	0x0043be	3	20	9	相手によっちゃ\nこちらも\n対応を考えなければ		
89	0x0043f4	2	18	12	お願いします\n力を貸してもらえませんか		
90	0x004424	2	16	11	渋谷最強の\nストリート・ギャングも		
91	0x00444a	2	19	10	正体不明の辻斬りには\nお手上げってわけか		
92	0x00447c	2	13	8	いいだろう\n話を聞いてやろう		
93	0x0044a2	3	26	11	はじめは\nウチのメンバーばかりが\n狙われていたんですがね		
94	0x0044e4	2	21	11	ここんとこ、だんだん\n見境いがなくなってきて		
95	0x004514	3	22	8	メンバー以外まで\n『辻斬り』に\nやられてるんです		
96	0x00454e	3	25	12	縄張りを\n荒らされたままじゃ\n俺たちもメンツがたたない		
97	0x00458e	3	25	11	俺たちも\n黙って手をこまねいてた\nわけじゃないんですよ		
98	0x0045ce	3	21	10	現場の近くを\nメンバーに\n見張らせてたんですが		
99	0x004600	2	14	11	犯人は\nこちらを出し抜いてくる		
100	0x004628	3	25	10	それどころか\n見張りのメンバーまで\nやられる始末で……		
101	0x004668	2	14	8	犯人について\nわかっているのは		
102	0x00468a	3	23	9	着流し姿の\nいかれた『侍』って\nことだけなんですよ		
103	0x0046c6	1	9	9	これを見てください		
104	0x0046e2	1	9	9	たしかにユニークね		
105	0x0046fe	2	14	12	でも\nこれだけ目立つ格好なのに		
106	0x004720	3	22	11	足取りが\nわからないっていうのも\nおかしな話だわ		
107	0x00475a	1	7	7	そうなんですよ		
108	0x004772	1	8	8	犯人に心当りは？		
109	0x00478c	3	26	11	俺たちは\n他のギャングをつぶして\n大きくなってきたんです		
110	0x0047c8	3	29	11	そういう意味じゃ\n俺たちを始末したい奴は\nごろごろしてるからな		
111	0x004810	3	18	8	たとえば\n最近戦った相手は\nどうなんだ？		
112	0x004842	1	6	6	最近ですか？		
113	0x004852	3	18	11	横浜の\n『ウイザーズ・エッジ』\nですかね		
114	0x004884	1	10	10	ウイザーズ・エッジ？		
115	0x0048a2	3	24	11	魔法を\nオモチャにしてる連中が\n作ったギャングですよ		
116	0x0048da	1	11	11	横浜を縄張りにしてます		
117	0x0048fa	2	12	9	魔法を\nオモチャにねえ……		
118	0x00491e	1	10	10	そいつらがどうして？		
119	0x00493c	2	18	11	ウチの縄張りに\n手を出そうとしたもんで		
120	0x004966	2	20	12	ついこないだまで\nドンパチやってたんですよ		
121	0x00499a	2	13	9	もっとも\n徹底的に叩いたんで		
122	0x0049ba	3	25	14	いまの連中には\n俺たちに\n手をだす力はないと思いますよ		
123	0x0049fa	2	15	10	なるほどな\n大した自信じゃないか		
124	0x004a24	1	4	4	他には？		
125	0x004a36	2	18	10	そうですねえ……\nあとは渋谷の『武空』		
126	0x004a66	2	17	12	こいつらも\nストリートギャングですが		
127	0x004a8e	2	21	11	俺たちの傘下に入らずに\nいまだに抵抗してます		
128	0x004ac4	2	16	10	ガキのけんかにしては\n大層なことだ		
129	0x004af0	3	19	10	そのガキが\n渋谷じゃ\n力を持ってるんですよ		
130	0x004b24	3	25	12	とにかく\n犯人を見つけ出して\n排除していただければ……		
131	0x004b64	3	30	13	もし、事件に他のギャングが\n関わっているようなら\n教えてください		
132	0x004bae	3	18	9	そのときは\n俺たちも\n動かねばなりません		
133	0x004be0	1	9	9	報復ってわけかい？		
134	0x004bfc	2	15	12	それは\nご想像におまかせしますよ		
135	0x004c26	3	20	7	いまのところ\nわかってるのは\nそのくらいです		
136	0x004c5c	3	27	11	何かあったら\n『オンフォール』って\nディスコに来てください		
137	0x004ca0	3	17	7	それじゃ\n俺は失礼します\n頼みましたよ		
138	0x004cd0	2	17	12	ナット……\n裏の世界に通じた情報屋だ		
139	0x004cf8	2	22	13	普通では知ることのできない\n裏情報をつかんでる		
140	0x004d2a	3	25	13	電話してみよう\nあいつなら\n何かつかんでるかもしれない		
141	0x004d64	3	17	8	はい\nああ、六堂さん\nなにか御用ですか		
142	0x004d94	3	26	12	おまえに用があるといえば\n決まってるさ\n裏情報が知りたい		
143	0x004dd0	1	13	13	渋谷の辻斬り事件についてだ		
144	0x004df4	1	7	7	辻斬り事件……		
145	0x004e06	3	19	12	さてね\n裏情報も\nそんなに多くないんですが		
146	0x004e3a	2	14	10	とにかく\nわかってることでいい		
147	0x004e62	3	20	12	警察も\nこの事件には手を焼いてる\nようですね		
148	0x004e92	2	16	9	犯人は、まさに\n神出鬼没らしいです		
149	0x004eb8	2	15	9	着流しなんて\nいまどき珍しいのに		
150	0x004edc	2	18	11	それで足取りを\nつかませないんですから		
151	0x004f06	3	22	9	犯人は魔法の使い手\nじゃないかって\n話もあります		
152	0x004f40	1	16	16	辻斬り事件に目撃者はいるんだろう		
153	0x004f6a	1	2	2	ええ		
154	0x004f72	3	24	12	あの辻斬りは\n狙った獲物は\n全部しとめてるんですがね		
155	0x004faa	3	25	11	幸運なことに\n生き残りがいたんですよ\n2人だけですがね		
156	0x004fe4	3	30	11	1人は、六堂さんと同じ\nストリート・サムライ\n『以蔵』って男です		
157	0x005028	2	17	12	もう1人は\n僕もよく知らないんですが		
158	0x005050	2	20	12	『チョロ』って呼ばれてる\n子供らしいですね		
159	0x005084	1	3	3	以蔵？		
160	0x005094	2	21	11	メタル・ラビリンスで\n用心棒をやってた男です		
161	0x0050c4	3	25	11	辻斬りにやられてから\n用心棒は\nやめちまったようですが		
162	0x005104	2	13	8	いまどこにいるか\nわかるか？		
163	0x00512a	2	17	12	残念ながら\nそこまではつかめてません		
164	0x005158	3	25	16	わかった\n以蔵か……\nハジメに確かめてみる必要があるな		
165	0x005198	1	7	7	他にご用件は？		
166	0x0051b0	3	27	11	そうだな……\nもうひとりの生き残り\n『チョロ』については？		
167	0x0051f4	3	27	11	現場近くの\n裏路地を寝ぐらにしてる\nストリート・キッドです		
168	0x005232	3	26	13	しかし\nわかってるのはそのくらいで\n詳しいことまでは……		
169	0x005274	3	20	13	後は\n武空というギャングのことを\n教えてくれ		
170	0x0052aa	3	20	10	武空……\nメタルと同じ\n渋谷のギャングですよ		
171	0x0052da	3	25	12	渋谷のギャングは\nほとんどが\nメタルに吸収されましたが		
172	0x005314	2	15	12	武空は\nまだメタルに抵抗してます		
173	0x00533e	2	15	8	武空に会うには\nどうすればいい？		
174	0x005368	3	20	10	渋谷に\n『逆島屋』って\n古い飲み屋があります		
175	0x005398	2	16	14	確か\nそこが連中のたまり場でしたよ		
176	0x0053c4	3	18	9	わかった\nまた、何かあったら\n教えてくれ		
177	0x0053f0	3	17	8	はい\nああ、六堂さん\nなにか御用ですか		
178	0x005420	3	24	9	辻斬り事件について\n何か新しい情報は\n入ってないか？		
179	0x00545e	2	11	6	今のところ\nありませんね		
180	0x005480	3	18	9	わかった\nまた、何かあったら\n教えてくれ		
181	0x0054b2	2	15	9	最近の事件や\nニュースの情報なら		
182	0x0054d6	2	16	9	データネットに\n流れているはずです		
183	0x0054fc	1	9	9	検索してみましょう		
184	0x005512	3	28	13	ここ1ヵ月のあいだ\n渋谷を中心に\n連続殺人事件が発生している		
185	0x005552	2	17	12	犠牲者には\n渋谷を本拠にするギャング		
186	0x00557a	2	19	12	『メタル・ラビリンス』の\nメンバーが多く		
187	0x0055a6	2	21	11	ギャング同士の抗争に\nまつわると見られている		
188	0x0055d6	3	26	12	現在\n目撃者の証言をもとにした\n犯人の姿が公開されている		
189	0x005612	3	21	9	犯人は神出鬼没で\n犠牲者を\n一刀両断にしている		
190	0x005644	3	25	9	凶器は鋭利な刃物と\n推定されているが\n詳細は不明である		
191	0x00567e	2	15	12	犯人の\nあまりの神出鬼没ぶりから		
192	0x0056a2	3	24	12	事件には\n魔法が関わっているのでは\nという見解もある		
193	0x0056da	3	22	11	渋谷では\nストリート・ギャングの\n抗争事件が激化		
194	0x00570e	1	11	11	重大な問題になっている		
195	0x005728	3	25	11	抗争の主役は\n渋谷を本拠にする\n『メタル・ラビリンス』		
196	0x005762	3	26	11	もう一方の主役が\n横浜のギャング\n『ウイザーズ・エッジ』		
197	0x00579e	3	23	11	この日の銃撃戦では\n双方に\n多数の犠牲者が出ている		
198	0x0057d4	3	20	11	特に\nウイザーズ側の死傷者は\n十数名にのぼり		
199	0x005804	2	16	11	報復による\n戦いの激化が心配される		
200	0x00582c	3	6	2	周囲\n住人\n地面		
201	0x005840	2	4	2	仲間\n住人		
202	0x00584e	4	32	8	打ち解けるように\n取り引する\nごく普通に\n関わりにならない		
203	0x005898	2	24	12	所持金　　　　　　　新円\n情報料　　　　　　0新円		
204	0x0058ce	1	11	11	0123456789		
205	0x0058ec	3	18	7	最初のころ\n事件はここで\n起こってたのね		
206	0x00591e	3	20	10	裏路地かぁ\n表通りとは\nずいぶん違う感じだわ		
207	0x005954	3	26	12	あちこち汚れてて嫌な感じ\n1人で来るところじゃ\nないわね		
208	0x005996	2	13	8	あたり一面\n落書きだらけ……		
209	0x0059b6	2	14	10	ギャングたちが残した\n落書きね		
210	0x0059de	3	16	9	……\nお世辞にも\n上品とは言えないわ		
211	0x005a0c	2	13	11	へっ\nじろじろ見るんじゃねえ		
212	0x005a32	3	26	11	ストリートの住人たちね\nちょっと\n近よりにくい雰囲気だわ		
213	0x005a74	1	13	13	ストリートの連中は苦手か？		
214	0x005a98	3	28	12	そういうわけじゃないけど\nもうすこし\nきれいにしてくれればね		
215	0x005ade	3	20	12	もともとは\n地面が\nむき出しだったそうだけど		
216	0x005b0e	2	20	12	舗装されてからは\n事件は起きてないって話ね		
217	0x005b42	3	19	9	このあたりには\n新しく\nビルが建つようです		
218	0x005b76	3	24	10	ビルが建ってしまうと\nストリートも\n住みにくくなるな		
219	0x005bb4	3	26	12	ひょっとして\n事件が起きなくなったのは\n舗装されたから？		
220	0x005bf6	2	14	11	まさか\nたんなる偶然だろう……		
221	0x005c1e	1	2	2	うん		
222	0x005c26	2	18	15	でもさ\nなんとなく引っかかるのよね……		
223	0x005c56	2	15	12	でたな\nシャーマンの勘ってやつか		
224	0x005c80	2	24	12	そういうわけじゃないけど\nちょっと気になっただけよ		
225	0x005cbc	2	11	8	彼らに\n話を聞かなくちゃ		
226	0x005cde	3	22	9	辻斬りが\nなりをひそめてる？\nどういうことだい？		
227	0x005d18	3	25	11	知らねえよ\nあいつもいっときは\n派手に暴れてやがったが		
228	0x005d52	3	21	10	ここんとこ\nこのへんじゃ\n噂も聞かなくなったぜ		
229	0x005d8a	2	20	11	なりをひそめたのは\nいつごろかわかるかい？		
230	0x005dbe	2	21	11	ちゃんとした時期まで\n覚えてるわけじゃねえが		
231	0x005dee	3	18	10	そうだな\nちょうど\nビルを建てるってんで		
232	0x005e1a	2	17	12	このへんを\n舗装しちまった頃からだな		
233	0x005e48	3	22	10	いまとなっちゃ\nギャングどものほうが\n恐ろしいね		
234	0x005e7c	3	25	12	また我がもの顔で\nこのへんを\n荒らすんじゃねえかってね		
235	0x005eb6	3	24	10	辻斬りが出てたころは\nさすがに\n連中もおとなしかった		
236	0x005ef4	2	16	10	ありがとうよ\nいろいろ参考になった		
237	0x005f20	2	17	12	おまえさん\n辻斬りを追ってるのかい？		
238	0x005f4e	2	10	7	まあね\nそんなところさ		
239	0x005f6e	3	15	8	なら\nチョロってガキを\n捜してみな		
240	0x005f94	2	18	10	辻斬りに襲われて\n生き延びたって噂だぜ		
241	0x005fc4	1	12	12	まあ、せいぜい気をつけな		
242	0x005fe6	3	17	10	ああ\nいっときは\n結構な騒ぎになったが		
243	0x006010	3	22	9	どういうわけか\nこのへんじゃ\n出なくなっちまった		
244	0x00604a	2	23	13	このあたりに出なくなった？\nそれはいつ頃からだ？		
245	0x006084	2	15	9	はっきりしたことは\n覚えてねえよ		
246	0x0060a8	2	15	11	……でも\n噂を聞かなくなったのは		
247	0x0060cc	2	15	10	このへんが\n舗装された頃からだな		
248	0x0060f0	3	28	12	辻斬り騒ぎがあったころは\nこのへんの土が\nむき出しになってた		
249	0x006136	1	3	3	……？		
250	0x006146	3	17	8	まあ\nギャングばかり\n襲われてたからな		
251	0x006170	3	20	9	辻斬りも\nギャングどもの\n抗争がらみだろうさ		
252	0x0061a0	3	30	11	メタルの連中が戦ってた\nウイザーズって連中が\n怪しいんじゃねえの		
253	0x0061e4	3	30	12	連中は魔法を使うからな\nそういう奴らは\n何をやってもおかしくねえ		
254	0x00622e	2	13	8	ちょっと！\nどういう意味よ！		
255	0x006254	2	9	5	まあまあ\n落ちつけよ		
256	0x00626c	3	23	10	こいつらも\n別にマオのことを\n言ったわけじゃないさ		
257	0x0062a8	2	20	12	魔法っていったが\n心当たりでもあるのかい？		
258	0x0062dc	2	17	14	犯人は\n人間じゃないって噂があるんだ		
259	0x006304	1	4	4	もっとも		
260	0x006310	3	24	9	辻斬りに襲われた\nどこかのガキが\n言ってたことらしい		
261	0x006348	2	14	10	あんまり\nァテにはなんねえがね		
262	0x006370	2	15	9	どこに行けば\nその子供に会える？		
263	0x00639a	3	17	10	知らねえよ\nだが\nこのへんじゃ無理だね		
264	0x0063c4	3	20	11	名前は……\n確か……\nチョロっていったか……		
265	0x0063fa	2	15	8	教えてやれるのは\nそのくらいだな		
266	0x006424	2	17	9	辻斬り事件のことで\nなにか知らない？		
267	0x006452	3	31	11	ああ、そのことかい\nまったく、このあたりも\nぶっそうになったもんさ		
268	0x006498	3	26	10	ギャングどもが\nドンパチやるうえに\n辻斬り騒ぎだからねえ		
269	0x0064d4	3	25	9	ところが、辻斬りも\nこのあたりじゃ\nなりをひそめてんだ		
270	0x006514	1	7	7	どういうこと？		
271	0x00652c	3	28	12	俺ゃしらねえよ\nでも、このあたりが\n舗装されてからのことだな		
272	0x00656c	2	21	11	このへんは、もともと\n土がむき出しだったんだ		
273	0x00659c	2	14	12	だが\n新しいビルを建てるとかで		
274	0x0065be	2	16	12	いまじゃ\nすっかり舗装されてるのさ		
275	0x0065e4	3	22	12	そのうち\nこのへんにゃ\n住めなくなっちまうのかね		
276	0x00661e	2	15	8	俺が知ってるのは\nこれで全部だぜ		
277	0x006648	1	11	11	まだ何か用があるのかい		
278	0x006668	1	13	13	どのように話しかけますか？		
279	0x00668c	2	16	10	ここらへんも\nビルが建つみたいだな		
280	0x0066b2	2	17	11	住むところが\nどんどんなくなっちまう		
281	0x0066e0	3	18	11	ふん\nよそもんが\n心配するこっちゃねえさ		
282	0x006712	2	18	11	別にきまぐれで\n心配してるわけじゃない		
283	0x00673c	2	13	9	俺だって\nストリート育ちだぜ		
284	0x006762	2	12	10	ふん\nならわかってんだろ？		
285	0x006780	3	26	11	このへんがダメになりゃ\nまた新しい寝ぐらを\nさがすだけさ		
286	0x0067bc	2	20	12	俺たちが気にかけてんのは\nもっと別のことさ		
287	0x0067f0	1	6	6	辻斬りかい？		
288	0x006806	3	27	12	ありゃ確かに物騒だったが\nいまじゃ\nなりをひそめてやがるぜ		
289	0x00684a	2	17	12	聞きたいことがあるんだが\nいいかい？		
290	0x006878	1	9	9	なんだ、あんたは？		
291	0x006894	1	10	10	別に怪しい者じゃない		
292	0x0068ac	3	18	10	それに\nタダで教えてくれとも\n言わないさ		
293	0x0068de	1	9	9	いくら渡しますか？		
294	0x0068fa	1	9	9	お金が足りないわよ		
295	0x006916	1	9	9	ケチケチしないでよ		
296	0x006932	1	8	8	そんなに渡すの？		
297	0x00694c	3	17	11	へっ\nなんだい\n聞きたいことってのは？		
298	0x00697c	2	19	12	このあたりに出るっていう\n辻斬りのことさ		
299	0x0069a8	3	22	11	なんでもいい\n知ってることがあったら\n教えてくれ		
300	0x0069e2	2	14	12	ねえ\n少し話を聞きたいんだけど		
301	0x006a0a	1	8	8	あっ、なんだい？		
302	0x006a24	2	20	11	どうも、こういう場所は\n苦手なんですが……		
303	0x006a58	3	21	9	あなたがた\n辻斬りのことで\n何か知りませんか？		
304	0x006a90	3	20	12	辻斬りだあ？\nもう\nこのへんじゃ出てねえよ！		
305	0x006ac6	1	11	11	それはいつ頃からです？		
306	0x006ae6	3	19	10	うるせえな！\nここが\n舗装されてからだよ！		
307	0x006b14	2	13	8	わかったら\nあっちへいきな！		
308	0x006b3a	3	17	7	やれやれ\nとりつくしまも\nありませんね		
309	0x006b6a	3	19	7	あんたねえ\n相手を怒らせて\nどうするのよ！		
310	0x006b98	2	21	11	話なんかしたくないって\n顔に書いてあったわよ		
311	0x006bce	3	26	10	え？　そうですか？\nそんなつもりは\nなかったんですが……		
312	0x006c0c	4	16	4	周囲\n地面\nギャング\nチョロ		
313	0x006c36	4	20	5	仲間\nギャング1\nギャング2\nチョロ		
314	0x006c68	2	8	4	助ける\n助けない		
315	0x006c82	2	19	10	最近は、このあたりで\n事件が起こっている		
316	0x006cb4	2	18	12	襲われた者は\nここに追い込まれるという		
317	0x006ce4	2	14	11	建物が\n取り壊された跡みたいね		
318	0x006d0c	2	15	8	新しいビルでも\n建てるのかしら？		
319	0x006d36	2	18	9	いまどき珍しいわね\n土がむき出しなんて		
320	0x006d66	2	15	10	メタル・ラビリンスの\nメンバーよ		
321	0x006d90	2	18	10	辻斬りを警戒して\n張りこんでるみたいね		
322	0x006dc0	2	19	11	張りこみにしては\n緊張感が足りないみたい		
323	0x006df2	2	17	9	辻斬りの張りこみか\nごくろうなことだ		
324	0x006e20	2	14	11	連中も\n殺られなきゃいいが……		
325	0x006e48	2	18	10	辻斬りに襲われて\n生き延びた子供か……		
326	0x006e78	2	13	7	なんとかして\n見つけないとな		
327	0x006e9e	3	18	10	とにかく\nあちこち\nあたってみるしかない		
328	0x006ed0	1	6	6	あ〜まったく		
329	0x006ee0	3	28	11	いつ出るかわかんねえ\n辻斬りを張り込むなんて\n退屈なもんだぜ		
330	0x006f26	3	17	8	ねえ\nチョロっていう\n子供を知らない？		
331	0x006f56	1	2	2	あ？		
332	0x006f5e	3	28	12	ああ、知ってるぜ\n辻斬りに襲われて\n生き延びたってガキだろ？		
333	0x006fa4	3	20	9	知ってるのね！\nこのあたりを捜せば\n会える？		
334	0x006fda	3	26	10	そいつはどうかな\nやたら用心深くて\nめったに姿を見せない		
335	0x007016	3	17	9	俺だって\nあんまり\n見たことねえからな		
336	0x007046	3	23	10	俺は見たことあるぜ\nあのガキ\n妙な魔法を使いやがる		
337	0x007082	1	3	3	魔法？		
338	0x007092	1	2	2	ああ		
339	0x00709a	3	23	10	からかおうとしたら\nすうっと\n姿を消しちまったのさ		
340	0x0070e2	2	11	7	あなたは\n何か知らない？		
341	0x007104	1	2	2	いや		
342	0x00710c	3	17	9	最近は\n特に変わったことも\nねえからな		
343	0x00713c	1	10	10	人の気配がないわ……		
344	0x00715a	1	11	11	……なにか聞こえない？		
345	0x00717a	2	11	6	悲鳴みたい！\nあっちよ！		
346	0x00719c	1	9	9	雰囲気が妙だな……		
347	0x0071b8	1	7	7	行ってみよう！		
348	0x0071ca	2	16	10	この野郎っ！\nくたばりやがれっ！！		
349	0x0071f6	1	9	9	こいつが辻斬りっ！		
350	0x007212	3	15	7	う……\n消えた……\n魔法を使った？		
351	0x00723a	1	6	6	……うう……		
352	0x007250	1	7	7	しっかりしろ！		
353	0x00726a	2	14	7	……くそう……\n思い出した……		
354	0x00728c	2	15	8	……あいつ……\n……影使いの……		
355	0x0072b8	3	26	10	……『影使い』！\nウイザーズ・エッジの\n魔法使いの名だ！		
356	0x0072fa	3	20	12	影使い……\nやはり\nウイザーズの仕業なのか？		
357	0x007330	1	2	2	……		
358	0x00733e	3	17	8	静かね……\n辻斬りは\n出てくるかしら？		
359	0x00736e	1	7	7	いつかは……な		
360	0x007386	2	7	4	さあ……\n行くぞ		
361	0x00739c	3	9	3	周囲\nダクト\n少年		
362	0x0073b6	3	9	3	周囲\nダクト\nチョロ		
363	0x0073d0	2	4	2	仲間\n少年		
364	0x0073de	2	6	3	仲間\nチョロ		
365	0x0073f4	2	15	10	以蔵さんは\nここに逃げ込んだのね		
366	0x007418	2	21	11	表通りから離れてるから\n人の姿が見えないわね		
367	0x00744e	2	14	11	ここも\n地面が見えてるけど……		
368	0x007476	2	14	8	ちょっと待って！\n誰かいるわ！		
369	0x00749e	2	15	8	どうした、マオ？\n何も見えないぞ		
370	0x0074c8	3	30	11	人よ！　人がいるの！\nまだ小さな男の子が\nおかしなクリッターに！		
371	0x00750c	1	9	9	こっち、こっちよ！		
372	0x007528	1	7	7	あのダクトは？		
373	0x007540	2	15	10	地下作業の\n換気用ダクトでしょう		
374	0x007564	3	27	12	このあたりじゃ\nあちこちで地面を\n掘り返してるようですから		
375	0x0075a8	1	9	9	まだ子供じゃないか		
376	0x0075c4	2	22	12	このあたりに住みついてる\nストリート・キッドね		
377	0x0075fc	2	20	10	以蔵を襲った辻斬りは\nここで姿を消した……		
378	0x007630	3	24	12	以蔵にとどめを刺すことも\nできたはずだ\nいったい……		
379	0x00766e	1	3	3	うわ！		
380	0x00767e	1	4	4	きゃあ！		
381	0x007690	2	19	12	以蔵さんが言ってた風って\nこのことね……		
382	0x0076c2	1	11	11	まったく、人騒がせだぜ		
383	0x0076e2	2	12	8	いったい\nどういうことだ？		
384	0x007706	3	22	12	さあ\nでも魔法がからんでるのは\n間違いなさそうね		
385	0x007740	2	16	11	あたしはマオっていうの\nあなたは？		
386	0x00776a	1	2	2	……		
387	0x007778	2	17	10	こわがることはないわ\n名前を教えて？		
388	0x0077a6	1	2	2	……		
389	0x0077ae	3	22	10	名前なんてないよ\nみんなは、チョロって\n呼ぶけど		
390	0x0077e8	2	12	9	あなた\n魔法が使えるのね？		
391	0x00780c	1	6	6	……まほう？		
