block	line	offset	kind	speaker	flag	win	cells	budget	japanese	english
19	0	0x0037A8	count			2323	4	8	店内	
19	1	0x0037B2	count			2323	4	8	バーテン	
20	0	0x0037BE	count				4	8	仲間	
20	1	0x0037C8	count				4	8	バーテン	
20	2	0x0037D2	count				4	8	ハジメ	
21	0	0x0037DE	count				6	12	辻斬り事件	
21	1	0x0037EC	count				6	12	渋谷抗争事件	
21	2	0x0037FA	count				6	12	検索終了	
22	0	0x00380A	count				7	14	選択して下さい	
23	0	0x00381C	count				8	16	真相を明かす	
23	1	0x00382E	count				8	16	真相を明かさない	
24	0	0x003848	page	0000	0000		13	26	いつものシルバー・ムーンだ	
24	1	0x003864	page	0000	0000		9	18	みんなそろっている	
25	0	0x003882	page	0000	0000	2323	12	24	まじめに話を聞いたほうが	
25	1	0x00389C	page	0000	0000	2323	6	12	よさそうだな	
26	0	0x0038B4	page	0000	0000	2323	4	8	ハジメは	
26	1	0x0038BE	page	0000	0000	2323	6	12	帰ったようだ	
27	0	0x0038D6	page	0000	0000	2323	9	18	客は、俺たちだけだ	
28	0	0x0038F4	page	0000	0000	2323	12	24	マオと何か話しをしている	
29	0	0x003916	page	0000	0000	2323	10	20	最近は平和なもんだな	
29	1	0x00392C	page	0000	0000	2323	5	10	なんとなく	
29	2	0x003938	page	0000	0000	2323	11	22	体がなまりそうな気分だ	
30	0	0x003958	page	0300	0000	2424	10	20	わたしたちにとっては	
30	1	0x00396E	page	0300	0000	2424	8	16	あまり平和なのも	
30	2	0x003980	page	0300	0000	2424	7	14	考えものですね	
31	0	0x003998	page	0100	0000	2323	8	16	見かけは平和でも	
31	1	0x0039AA	page	0100	0000	2323	3	6	裏じゃ	
31	2	0x0039B2	page	0100	0000	2323	11	22	いろいろ動いてるもんさ	
32	0	0x0039CC	page			2424	10	20	いつお呼びがかかるか	
32	1	0x0039E2	page			2424	5	10	わからんぜ	
33	0	0x0039F6	page	0300	0000	2323	10	20	噂をすれば……ですね	
34	0	0x003A14	page	0100	0000	2323	7	14	……このところ	
34	1	0x003A24	page	0100	0000	2323	12	24	暇を持てあましてたからな	
34	2	0x003A3E	page	0100	0000	2323	12	24	肩ならしにはちょうどいい	
35	0	0x003A60	page	0000	0000	2424	5	10	高くつくぜ	
36	0	0x003A74	page	1100	0001	2424	6	12	承知してます	
36	1	0x003A82	page	1100	0001	2424	3	6	犯人を	
36	2	0x003A8A	page	1100	0001	2424	8	16	倒してもらえれば	
37	0	0x003A9E	page			2424	6	12	4000新円	
37	1	0x003AAC	page			2424	8	16	お支払いしますよ	
38	0	0x003AC6	page	0000	0000	2424	6	12	ひさしぶりの	
38	1	0x003AD4	page	0000	0000	2424	7	14	仕事ってわけだ	
39	0	0x003AEC	page	0000	0000	2323	9	18	詳しい話しを聞こう	
40	0	0x003B08	page	0300	0000	2323	10	20	犯人の正体が分かれば	
40	1	0x003B1E	page	0300	0000	2323	11	22	報復するつもりですかね	
41	0	0x003B3E	page	0200	0000	2424	3	6	あまり	
41	1	0x003B46	page	0200	0000	2424	10	20	いい気分じゃないわね	
42	0	0x003B64	page	0100	0000	2424	3	6	仕事に	
42	1	0x003B6C	page	0100	0000	2424	14	28	あまり私情を挟むもんじゃない	
43	0	0x003B8C	page			2424	4	8	俺たちは	
43	1	0x003B96	page			2424	9	18	依頼をこなすだけさ	
44	0	0x003BB2	page	0200	0000	2424	4	8	はいはい	
44	1	0x003BBC	page	0200	0000	2424	7	14	わかってるわよ	
45	0	0x003BCE	page			2424	4	8	紫雲って	
45	1	0x003BD8	page			2424	10	20	頭が固いんだから……	
46	0	0x003BF6	page	0000	0000	2323	2	4	さて	
46	1	0x003BFC	page	0000	0000	2323	7	14	どう始めるか？	
47	0	0x003C14	page	0100	0000	2424	9	18	目撃者を見つけるか	
47	1	0x003C28	page	0100	0000	2424	10	20	現場をあたってみるか	
47	2	0x003C3E	page	0100	0000	2424	7	14	そのあたりだな	
48	0	0x003C56	page	0000	0000	2323	10	20	さて、どう動くかな？	
49	0	0x003C74	page	0100	0000	2323	7	14	情報屋から何か	
49	1	0x003C84	page	0100	0000	2323	7	14	聞き出せないか	
50	0	0x003C9C	page	0000	0000	2424	9	18	そうだな、情報屋の	
50	1	0x003CB0	page	0000	0000	2424	11	22	ナットに連絡してみよう	
51	0	0x003CD0	page	0200	0000	2323	5	10	……じゃあ	
51	1	0x003CDC	page	0200	0000	2323	9	18	こういうのはどう？	
52	0	0x003CF2	page			2424	8	16	そこにあるけれど	
52	1	0x003D04	page			2424	10	20	触れることはできない	
52	2	0x003D1A	page			2424	12	24	でも、感じることはできる	
53	0	0x003D36	page			2424	9	18	さて、それはなに？	
54	0	0x003D52	page	0A00	0001	2424	7	14	そうですね……	
54	1	0x003D62	page	0A00	0001	2424	6	12	『愛情』って	
54	2	0x003D70	page	0A00	0001	2424	9	18	いうのはどうです？	
55	0	0x003D8C	page	0200	0000	2424	10	20	フフッ、素敵な答えね	
55	1	0x003DA2	page	0200	0000	2424	6	12	でも、はずれ	
55	2	0x003DB0	page	0200	0000	2424	8	16	答えは『精霊』よ	
56	0	0x003DCA	page	0A00	0001	2424	1	2	？	
57	0	0x003DD6	page	0200	0000	2424	11	22	どこにでもいるんだけど	
57	1	0x003DEE	page	0200	0000	2424	14	28	触れることはできないでしょ？	
58	0	0x003E14	page	0A00	0001	2424	9	18	わたしの近くにも？	
59	0	0x003E30	page	0200	0000	2424	2	4	ええ	
59	1	0x003E36	page	0200	0000	2424	5	10	この店には	
59	2	0x003E42	page	0200	0000	2424	10	20	働き者の精霊がいるわ	
60	0	0x003E60	page	1100	0001	2323	11	22	やっぱり、ここでしたか	
61	0	0x003E80	page	0200	0000	2424	2	4	誰？	
62	0	0x003E8E	page	0000	0000	2424	3	6	ハジメ	
62	1	0x003E96	page	0000	0000	2424	13	26	渋谷のストリート・ギャング	
62	2	0x003EB2	page	0000	0000	2424	15	30	メタル・ラビリンスのメンバーさ	
63	0	0x003EDA	page	1100	0001	2424	3	6	どうも	
63	1	0x003EE2	page	1100	0001	2424	11	22	よろしくお見知りおきを	
64	0	0x003F02	page	0200	0000	2424	11	22	で、そのギャングさんが	
64	1	0x003F1A	page	0200	0000	2424	4	8	何の用？	
65	0	0x003F2C	page	1100	0001	2424	3	6	いやあ	
65	1	0x003F34	page	1100	0001	2424	10	20	実は、困ってることが	
65	2	0x003F4A	page	1100	0001	2424	6	12	あるんですよ	
66	0	0x003F5A	page			2424	3	6	それで	
66	1	0x003F62	page			2424	9	18	力をお借りしたくて	
67	0	0x003F7E	page	0000	0000	2424	6	12	言っておくが	
67	1	0x003F8C	page	0000	0000	2424	5	10	用心棒なら	
67	2	0x003F98	page	0000	0000	2424	6	12	お断わりだぜ	
68	0	0x003FAE	page	0A00	0001	2323	2	4	……	
69	0	0x003FBC	page	0200	0000	2323	2	4	ねえ	
69	1	0x003FC2	page	0200	0000	2323	10	20	渋谷の辻斬り事件って	
69	2	0x003FD8	page	0200	0000	2323	8	16	聞いたことある？	
70	0	0x003FF2	page	0A00	0001	2424	2	4	ああ	
70	1	0x003FF8	page	0A00	0001	2424	12	24	ギャングのメンバーばかり	
70	2	0x004012	page	0A00	0001	2424	11	22	狙われたってやつですね	
71	0	0x004032	page	0A00	0001	2424	12	24	それがどうかしましたか？	
72	0	0x004054	page	0200	0000	2424	5	10	その事件で	
72	1	0x004060	page	0200	0000	2424	12	24	噂とか聞いたことはない？	
73	0	0x004082	page	0A00	0001	2424	3	6	みんな	
73	1	0x00408A	page	0A00	0001	2424	8	16	好き勝手なことを	
73	2	0x00409C	page	0A00	0001	2424	8	16	言ってますからね	
74	0	0x0040B0	page			2424	8	16	データネットでも	
74	1	0x0040C2	page			2424	12	24	当たってみたらどうです？	
75	0	0x0040E4	page	0A00	0001	2323	7	14	いかがですか？	
75	1	0x0040F4	page	0A00	0001	2323	7	14	仕事の調子は？	
76	0	0x00410C	page	0000	0000	2323	7	14	何があったんだ	
77	0	0x004124	page	1100	0001	2424	10	20	実は、ウチの縄張りで	
77	1	0x00413A	page	1100	0001	2424	5	10	立て続けに	
77	2	0x004146	page	1100	0001	2424	10	20	人が殺されてるんです	
78	0	0x004164	page	0200	0000	2424	8	16	いま噂になってる	
78	1	0x004176	page	0200	0000	2424	3	6	渋谷の	
78	2	0x00417E	page	0200	0000	2424	12	24	『辻斬り』事件ってやつ？	
79	0	0x0041A0	page	1100	0001	2424	8	16	そう、そいつです	
79	1	0x0041B2	page	1100	0001	2424	5	10	その犯人を	
79	2	0x0041BE	page	1100	0001	2424	11	22	倒してもらいたいんです	
80	0	0x0041DE	page	0000	0000	2323	5	10	頼む相手が	
80	1	0x0041EA	page	0000	0000	2323	8	16	違うんじゃないか	
81	0	0x004204	page	0100	0000	2424	4	8	確かにな	
81	1	0x00420E	page	0100	0000	2424	2	4	なぜ	
81	2	0x004214	page	0100	0000	2424	9	18	警察にまかせない？	
82	0	0x004230	page	0100	0000	2424	10	20	俺たちが動かなくても	
82	1	0x004246	page	0100	0000	2424	3	6	犯人を	
82	2	0x00424E	page	0100	0000	2424	11	22	見つけてくれるだろうさ	
83	0	0x00426E	page	1100	0001	2424	8	16	それはできません	
84	0	0x004282	page			2424	3	6	コトは	
84	1	0x00428A	page			2424	8	16	俺たちのメンツに	
84	2	0x00429C	page			2424	10	20	かかわってるんですよ	
85	0	0x0042B4	page			2424	12	24	警察の手を借りるようじゃ	
85	1	0x0042CE	page			2424	9	18	殺されたメンバーに	
85	2	0x0042E2	page			2424	9	18	しめしがつきません	
86	0	0x0042FE	page	0000	0000	2323	3	6	しかし	
86	1	0x004306	page	0000	0000	2323	11	22	かたきを討つためだけに	
86	2	0x00431E	page	0000	0000	2323	13	26	俺たちを雇うっていうのか？	
87	0	0x004342	page	1100	0001	2424	8	16	さすがは六堂さん	
87	1	0x004354	page	1100	0001	2424	5	10	鋭いですね	
88	0	0x004362	page			2424	7	14	ご存じのとおり	
88	1	0x004372	page			2424	9	18	俺たちには敵が多い	
89	0	0x004388	page			2424	3	6	犯人は	
89	1	0x004390	page			2424	12	24	俺たちに恨みがある奴だと	
89	2	0x0043AA	page			2424	8	16	踏んでるんですよ	
90	0	0x0043BE	page			2424	7	14	相手によっちゃ	
90	1	0x0043CE	page			2424	4	8	こちらも	
90	2	0x0043D8	page			2424	9	18	対応を考えなければ	
91	0	0x0043F4	page	1100	0001	2323	6	12	お願いします	
91	1	0x004402	page	1100	0001	2323	12	24	力を貸してもらえませんか	
92	0	0x004424	page	0000	0000	2424	5	10	渋谷最強の	
92	1	0x004430	page	0000	0000	2424	11	22	ストリート・ギャングも	
93	0	0x00444A	page			2424	10	20	正体不明の辻斬りには	
93	1	0x004460	page			2424	9	18	お手上げってわけか	
94	0	0x00447C	page	0000	0000	2323	5	10	いいだろう	
94	1	0x004488	page	0000	0000	2323	8	16	話を聞いてやろう	
95	0	0x0044A2	page	1100	0001	2424	4	8	はじめは	
95	1	0x0044AC	page	1100	0001	2424	11	22	ウチのメンバーばかりが	
95	2	0x0044C4	page	1100	0001	2424	11	22	狙われていたんですがね	
96	0	0x0044E4	page	1100	0001	2424	10	20	ここんとこ、だんだん	
96	1	0x0044FA	page	1100	0001	2424	11	22	見境いがなくなってきて	
97	0	0x004514	page			2424	8	16	メンバー以外まで	
97	1	0x004526	page			2424	6	12	『辻斬り』に	
97	2	0x004534	page			2424	8	16	やられてるんです	
98	0	0x00454E	page	1100	0001	2424	4	8	縄張りを	
98	1	0x004558	page	1100	0001	2424	9	18	荒らされたままじゃ	
98	2	0x00456C	page	1100	0001	2424	12	24	俺たちもメンツがたたない	
99	0	0x00458E	page	1100	0001	2323	4	8	俺たちも	
99	1	0x004598	page	1100	0001	2323	11	22	黙って手をこまねいてた	
99	2	0x0045B0	page	1100	0001	2323	10	20	わけじゃないんですよ	
100	0	0x0045CE	page	1100	0001	2424	6	12	現場の近くを	
100	1	0x0045DC	page	1100	0001	2424	5	10	メンバーに	
100	2	0x0045E8	page	1100	0001	2424	10	20	見張らせてたんですが	
101	0	0x004600	page			2424	3	6	犯人は	
101	1	0x004608	page			2424	11	22	こちらを出し抜いてくる	
102	0	0x004628	page	1100	0001	2424	6	12	それどころか	
102	1	0x004636	page	1100	0001	2424	10	20	見張りのメンバーまで	
102	2	0x00464C	page	1100	0001	2424	9	18	やられる始末で……	
103	0	0x004668	page	1100	0001	2323	6	12	犯人について	
103	1	0x004676	page	1100	0001	2323	8	16	わかっているのは	
104	0	0x00468A	page			2424	5	10	着流し姿の	
104	1	0x004696	page			2424	9	18	いかれた『侍』って	
104	2	0x0046AA	page			2424	9	18	ことだけなんですよ	
105	0	0x0046C6	page	1100	0001	2424	9	18	これを見てください	
106	0	0x0046E2	page	0200	0000	2323	9	18	たしかにユニークね	
107	0	0x0046FE	page	0200	0000	2424	2	4	でも	
107	1	0x004704	page	0200	0000	2424	12	24	これだけ目立つ格好なのに	
108	0	0x004720	page			2424	4	8	足取りが	
108	1	0x00472A	page			2424	11	22	わからないっていうのも	
108	2	0x004742	page			2424	7	14	おかしな話だわ	
109	0	0x00475A	page	1100	0001	2424	7	14	そうなんですよ	
110	0	0x004772	page	0000	0000	2323	8	16	犯人に心当りは？	
111	0	0x00478C	page	1100	0001	2424	4	8	俺たちは	
111	1	0x004796	page	1100	0001	2424	11	22	他のギャングをつぶして	
111	2	0x0047AE	page	1100	0001	2424	11	22	大きくなってきたんです	
112	0	0x0047C8	page			2424	8	16	そういう意味じゃ	
112	1	0x0047DA	page			2424	11	22	俺たちを始末したい奴は	
112	2	0x0047F2	page			2424	10	20	ごろごろしてるからな	
113	0	0x004810	page	0000	0000	2424	4	8	たとえば	
113	1	0x00481A	page	0000	0000	2424	8	16	最近戦った相手は	
113	2	0x00482C	page	0000	0000	2424	6	12	どうなんだ？	
114	0	0x004842	page	1100	0001	2424	6	12	最近ですか？	
115	0	0x004852	page			2424	3	6	横浜の	
115	1	0x00485A	page			2424	11	22	『ウイザーズ・エッジ』	
115	2	0x004872	page			2424	4	8	ですかね	
116	0	0x004884	page	0000	0000	2323	10	20	ウイザーズ・エッジ？	
117	0	0x0048A2	page	1100	0001	2424	3	6	魔法を	
117	1	0x0048AA	page	1100	0001	2424	11	22	オモチャにしてる連中が	
117	2	0x0048C2	page	1100	0001	2424	10	20	作ったギャングですよ	
118	0	0x0048DA	page			2424	11	22	横浜を縄張りにしてます	
119	0	0x0048FA	page	0200	0000	2424	3	6	魔法を	
119	1	0x004902	page	0200	0000	2424	9	18	オモチャにねえ……	
120	0	0x00491E	page	0100	0000	2424	10	20	そいつらがどうして？	
121	0	0x00493C	page	1100	0001	2424	7	14	ウチの縄張りに	
121	1	0x00494C	page	1100	0001	2424	11	22	手を出そうとしたもんで	
122	0	0x004966	page			2424	8	16	ついこないだまで	
122	1	0x004978	page			2424	12	24	ドンパチやってたんですよ	
123	0	0x00499A	page	1100	0001	2424	4	8	もっとも	
123	1	0x0049A4	page	1100	0001	2424	9	18	徹底的に叩いたんで	
124	0	0x0049BA	page			2424	7	14	いまの連中には	
124	1	0x0049CA	page			2424	4	8	俺たちに	
124	2	0x0049D4	page			2424	14	28	手をだす力はないと思いますよ	
125	0	0x0049FA	page	0000	0000	2424	5	10	なるほどな	
125	1	0x004A06	page	0000	0000	2424	10	20	大した自信じゃないか	
126	0	0x004A24	page	0000	0000	2323	4	8	他には？	
127	0	0x004A36	page	1100	0001	2424	8	16	そうですねえ……	
127	1	0x004A48	page	1100	0001	2424	10	20	あとは渋谷の『武空』	
128	0	0x004A66	page	1100	0001	2424	5	10	こいつらも	
128	1	0x004A72	page	1100	0001	2424	12	24	ストリートギャングですが	
129	0	0x004A8E	page			2424	11	22	俺たちの傘下に入らずに	
129	1	0x004AA6	page			2424	10	20	いまだに抵抗してます	
130	0	0x004AC4	page	0100	0000	2424	10	20	ガキのけんかにしては	
130	1	0x004ADA	page	0100	0000	2424	6	12	大層なことだ	
131	0	0x004AF0	page	1100	0001	2424	5	10	そのガキが	
131	1	0x004AFC	page	1100	0001	2424	4	8	渋谷じゃ	
131	2	0x004B06	page	1100	0001	2424	10	20	力を持ってるんですよ	
132	0	0x004B24	page	1100	0001	2323	4	8	とにかく	
132	1	0x004B2E	page	1100	0001	2323	9	18	犯人を見つけ出して	
132	2	0x004B42	page	1100	0001	2323	12	24	排除していただければ……	
133	0	0x004B64	page	1100	0001	2424	13	26	もし、事件に他のギャングが	
133	1	0x004B80	page	1100	0001	2424	10	20	関わっているようなら	
133	2	0x004B96	page	1100	0001	2424	7	14	教えてください	
134	0	0x004BAE	page	1100	0001	2424	5	10	そのときは	
134	1	0x004BBA	page	1100	0001	2424	4	8	俺たちも	
134	2	0x004BC4	page	1100	0001	2424	9	18	動かねばなりません	
135	0	0x004BE0	page	0000	0000	2424	9	18	報復ってわけかい？	
136	0	0x004BFC	page	1100	0001	2424	3	6	それは	
136	1	0x004C04	page	1100	0001	2424	12	24	ご想像におまかせしますよ	
137	0	0x004C26	page	1100	0001	2323	6	12	いまのところ	
137	1	0x004C34	page	1100	0001	2323	7	14	わかってるのは	
137	2	0x004C44	page	1100	0001	2323	7	14	そのくらいです	
138	0	0x004C5C	page	1100	0001	2424	6	12	何かあったら	
138	1	0x004C6A	page	1100	0001	2424	10	20	『オンフォール』って	
138	2	0x004C80	page	1100	0001	2424	11	22	ディスコに来てください	
139	0	0x004CA0	page	1100	0001	2424	4	8	それじゃ	
139	1	0x004CAA	page	1100	0001	2424	7	14	俺は失礼します	
139	2	0x004CBA	page	1100	0001	2424	6	12	頼みましたよ	
140	0	0x004CD0	page	0000	0000	2323	5	10	ナット……	
140	1	0x004CDC	page	0000	0000	2323	12	24	裏の世界に通じた情報屋だ	
141	0	0x004CF8	page			2424	13	26	普通では知ることのできない	
141	1	0x004D14	page			2424	9	18	裏情報をつかんでる	
142	0	0x004D2A	page			2424	7	14	電話してみよう	
142	1	0x004D3A	page			2424	5	10	あいつなら	
142	2	0x004D46	page			2424	13	26	何かつかんでるかもしれない	
143	0	0x004D64	page			2323	2	4	はい	
143	1	0x004D6A	page			2323	7	14	ああ、六堂さん	
143	2	0x004D7A	page			2323	8	16	なにか御用ですか	
144	0	0x004D94	page	0000	0000	2323	12	24	おまえに用があるといえば	
144	1	0x004DAE	page	0000	0000	2323	6	12	決まってるさ	
144	2	0x004DBC	page	0000	0000	2323	8	16	裏情報が知りたい	
145	0	0x004DD0	page			2424	13	26	渋谷の辻斬り事件についてだ	
146	0	0x004DF4	page	FF00	0001	2424	7	14	辻斬り事件……	
147	0	0x004E06	page			2424	3	6	さてね	
147	1	0x004E0E	page			2424	4	8	裏情報も	
147	2	0x004E18	page			2424	12	24	そんなに多くないんですが	
148	0	0x004E3A	page	0000	0000	2424	4	8	とにかく	
148	1	0x004E44	page	0000	0000	2424	10	20	わかってることでいい	
149	0	0x004E62	page	FF00	0001	2424	3	6	警察も	
149	1	0x004E6A	page	FF00	0001	2424	12	24	この事件には手を焼いてる	
149	2	0x004E84	page	FF00	0001	2424	5	10	ようですね	
150	0	0x004E92	page			2424	7	14	犯人は、まさに	
150	1	0x004EA2	page			2424	9	18	神出鬼没らしいです	
151	0	0x004EB8	page			2424	6	12	着流しなんて	
151	1	0x004EC6	page			2424	9	18	いまどき珍しいのに	
152	0	0x004EDC	page			2424	7	14	それで足取りを	
152	1	0x004EEC	page			2424	11	22	つかませないんですから	
153	0	0x004F06	page			2424	9	18	犯人は魔法の使い手	
153	1	0x004F1A	page			2424	7	14	じゃないかって	
153	2	0x004F2A	page			2424	6	12	話もあります	
154	0	0x004F40	page	0000	0000	2424	16	32	辻斬り事件に目撃者はいるんだろう	
155	0	0x004F6A	page	FF00	0001	2424	2	4	ええ	
156	0	0x004F72	page			2424	6	12	あの辻斬りは	
156	1	0x004F80	page			2424	6	12	狙った獲物は	
156	2	0x004F8E	page			2424	12	24	全部しとめてるんですがね	
157	0	0x004FAA	page			2424	6	12	幸運なことに	
157	1	0x004FB8	page			2424	11	22	生き残りがいたんですよ	
157	2	0x004FD0	page			2424	8	16	2人だけですがね	
158	0	0x004FE4	page			2424	11	22	1人は、六堂さんと同じ	
158	1	0x004FFC	page			2424	10	20	ストリート・サムライ	
158	2	0x005012	page			2424	9	18	『以蔵』って男です	
159	0	0x005028	page			2424	5	10	もう1人は	
159	1	0x005034	page			2424	12	24	僕もよく知らないんですが	
160	0	0x005050	page			2424	12	24	『チョロ』って呼ばれてる	
160	1	0x00506A	page			2424	8	16	子供らしいですね	
161	0	0x005084	page	0000	0000	2424	3	6	以蔵？	
162	0	0x005094	page	FF00	0001	2424	10	20	メタル・ラビリンスで	
162	1	0x0050AA	page	FF00	0001	2424	11	22	用心棒をやってた男です	
163	0	0x0050C4	page			2424	10	20	辻斬りにやられてから	
163	1	0x0050DA	page			2424	4	8	用心棒は	
163	2	0x0050E4	page			2424	11	22	やめちまったようですが	
164	0	0x005104	page	0000	0000	2424	8	16	いまどこにいるか	
164	1	0x005116	page	0000	0000	2424	5	10	わかるか？	
165	0	0x00512A	page	FF00	0001	2424	5	10	残念ながら	
165	1	0x005136	page	FF00	0001	2424	12	24	そこまではつかめてません	
166	0	0x005158	page	0000	0000	2424	4	8	わかった	
166	1	0x005162	page	0000	0000	2424	5	10	以蔵か……	
166	2	0x00516E	page	0000	0000	2424	16	32	ハジメに確かめてみる必要があるな	
167	0	0x005198	page	FF00	0001	2424	7	14	他にご用件は？	
168	0	0x0051B0	page	0000	0000	2424	6	12	そうだな……	
168	1	0x0051BE	page	0000	0000	2424	10	20	もうひとりの生き残り	
168	2	0x0051D4	page	0000	0000	2424	11	22	『チョロ』については？	
169	0	0x0051F4	page	FF00	0001	2424	5	10	現場近くの	
169	1	0x005200	page	FF00	0001	2424	11	22	裏路地を寝ぐらにしてる	
169	2	0x005218	page	FF00	0001	2424	11	22	ストリート・キッドです	
170	0	0x005232	page			2424	3	6	しかし	
170	1	0x00523A	page			2424	13	26	わかってるのはそのくらいで	
170	2	0x005256	page			2424	10	20	詳しいことまでは……	
171	0	0x005274	page	0000	0000	2424	2	4	後は	
171	1	0x00527A	page	0000	0000	2424	13	26	武空というギャングのことを	
171	2	0x005296	page	0000	0000	2424	5	10	教えてくれ	
172	0	0x0052AA	page	FF00	0001	2424	4	8	武空……	
172	1	0x0052B4	page	FF00	0001	2424	6	12	メタルと同じ	
172	2	0x0052C2	page	FF00	0001	2424	10	20	渋谷のギャングですよ	
173	0	0x0052DA	page			2424	8	16	渋谷のギャングは	
173	1	0x0052EC	page			2424	5	10	ほとんどが	
173	2	0x0052F8	page			2424	12	24	メタルに吸収されましたが	
174	0	0x005314	page			2424	3	6	武空は	
174	1	0x00531C	page			2424	12	24	まだメタルに抵抗してます	
175	0	0x00533E	page	0000	0000	2424	7	14	武空に会うには	
175	1	0x00534E	page	0000	0000	2424	8	16	どうすればいい？	
176	0	0x005368	page	FF00	0001	2424	3	6	渋谷に	
176	1	0x005370	page	FF00	0001	2424	7	14	『逆島屋』って	
176	2	0x005380	page	FF00	0001	2424	10	20	古い飲み屋があります	
177	0	0x005398	page			2424	2	4	確か	
177	1	0x00539E	page			2424	14	28	そこが連中のたまり場でしたよ	
178	0	0x0053C4	page	0000	0000	2424	4	8	わかった	
178	1	0x0053CE	page	0000	0000	2424	9	18	また、何かあったら	
178	2	0x0053E2	page	0000	0000	2424	5	10	教えてくれ	
179	0	0x0053F0	page			2323	2	4	はい	
179	1	0x0053F6	page			2323	7	14	ああ、六堂さん	
179	2	0x005406	page			2323	8	16	なにか御用ですか	
180	0	0x005420	page	0000	0000	2424	9	18	辻斬り事件について	
180	1	0x005434	page	0000	0000	2424	8	16	何か新しい情報は	
180	2	0x005446	page	0000	0000	2424	7	14	入ってないか？	
181	0	0x00545E	page	FF00	0001	2424	5	10	今のところ	
181	1	0x00546A	page	FF00	0001	2424	6	12	ありませんね	
182	0	0x005480	page	0000	0000	2424	4	8	わかった	
182	1	0x00548A	page	0000	0000	2424	9	18	また、何かあったら	
182	2	0x00549E	page	0000	0000	2424	5	10	教えてくれ	
183	0	0x0054B2	page	0300	0000	2323	6	12	最近の事件や	
183	1	0x0054C0	page	0300	0000	2323	9	18	ニュースの情報なら	
184	0	0x0054D6	page			2424	7	14	データネットに	
184	1	0x0054E6	page			2424	9	18	流れているはずです	
185	0	0x0054FC	page			2424	9	18	検索してみましょう	
186	0	0x005512	page			2323	9	18	ここ1ヵ月のあいだ	
