index	char	rank	score	top5
181	因	2	0.579	円因国日同
182	引	1	0.764	引用別明目
183	飲	5	0.346	放触教散飲
184	院	1	0.701	院暁腕暗呪
185	隠	1	0.532	隠暁呼院呪
186	噂	1	0.766	噂噴隠障鳴
187	運	12	0.328	選里重通正
188	雲	3	0.519	霊言雲雰！
189	影	1	0.426	影も動ん射
190	永	4	0.445	十末人永夫
191	鋭	1	0.594	鋭短銃続飲
192	越	1	0.533	越短地逃牲
193	円	1	0.921	円日同口因
194	延	85	0.122	証望逃ュ抵
195	炎	1	0.599	炎支俺員丈
196	遠	1	0.599	遠血違重信
197	汚	1	0.498	汚迷冷考追
198	応	1	0.52	応底筋ご店
199	押	1	0.754	押探期折仲
200	横	1	0.512	横捜構書境
201	屋	5	0.317	至原周戻屋
202	俺	1	0.686	俺侍使偉情
203	下	2	0.511	千下十てエ
204	化	2	0.55	止化正土士
205	何	1	0.557	何俺偶借似
206	暇	1	0.737	暇噂呪噴唱
207	果	1	0.7	果平暴男里
208	火	2	0.527	人火夫大光
209	華	1	0.517	華苦千悟乗
210	過	1	0.564	過退遅通選
211	我	1	0.616	我救セ教殺
212	介	1	0.768	介分外発会
213	会	3	0.472	金企会全生
214	解	8	0.322	触威筋焼収
215	回	1	0.766	回同固因囲
216	壊	1	0.462	壊境壌理法
217	怪	1	0.629	怪牲悟犠検
218	戒	16	0.315	立古夫先抜
219	界	2	0.541	早界思暴里
220	開	1	0.746	開聞間問門
221	外	1	0.496	外供分折緋
222	街	1	0.665	街借十復僕
223	嚇	1	0.564	嚇4普料書
224	拡	1	0.487	拡欲振血抵
225	格	1	0.505	格構棒傷情
226	獲	6	0.344	振操重推役
227	確	1	0.411	確華嫌望守
228	覚	1	0.593	覚堂立支倉
229	勘	1	0.616	勘期動助効
230	完	1	0.622	完実有先貸
231	感	1	0.621	感恵怒息ご
232	換	1	0.579	換操挑拠幅
233	簡	1	0.481	簡期助悲細
234	間	1	0.78	間開聞関闇
235	関	2	0.778	開関間問聞
236	眼	1	0.492	眼呪吸唱千
237	顔	1	0.476	顔簡魔頼望
238	願	386	-0.004	利助魔名和
239	企	1	0.664	企止全上土
240	危	1	0.575	危血急近セ
241	喜	1	0.584	喜書裏重整
242	器	1	0.638	器里早暴最
243	奇	1	0.64	奇普デ安十
244	期	1	0.652	期押勘助掘
245	機	2	0.444	俺機捜棒侍
246	帰	1	0.624	帰骨員悟恨
247	気	1	0.407	気魔悟表千
248	起	1	0.399	起銃題悲越
249	飢	1	0.596	飢斬起血船
250	鬼	1	0.507	鬼上実金良
251	儀	1	0.555	儀俺傷傑借
252	技	1	0.533	技捜抗楼抜
253	犠	5	0.32	儀棒操嫌犠
254	疑	1	0.386	疑短整怪証
255	議	107	0.157	棒デ勢離身
256	詰	3	0.335	せ整詰越勢
257	客	1	0.596	客育き書寝
258	逆	3	0.476	血主逆住生
259	休	1	0.799	休体像件仕
260	吸	1	0.603	吸唱呪噂隠
261	急	1	0.574	急念息整重
262	救	1	0.362	救機ね牲料
263	拠	1	0.508	拠血傷挑徹
264	許	2	0.429	詳許辞打れ
265	京	1	0.699	京束東察息
266	供	1	0.701	供傷傑僕借
267	競	1	0.551	競襲建整勢
268	凶	1	0.543	凶内困ピビ
269	協	1	0.674	協壊境壌確
270	境	1	0.453	境壌壊僕焼
271	強	1	0.368	強壁セせ金
272	怯	1	0.582	怯在住牲怪
273	恐	1	0.764	恐思愚5子
274	挟	1	0.646	挟技抗捜良
275	教	7	0.287	短致殺難分
276	胸	1	0.626	胸制判腕刺
277	驚	1	0.594	驚普警祭葉
278	暁	2	0.45	時暁院険装
279	業	1	0.625	業支実空安
280	筋	6	0.292	期簡荒前消
281	緊	1	0.387	緊紫雲葉年
282	近	1	0.632	近上行土退
283	金	1	0.761	金企全上会
284	苦	1	0.658	苦普若書デ
285	駆	1	0.374	駆短魔斬避
286	愚	1	0.556	愚至界悪思
287	空	1	0.748	空整立望全
288	偶	1	0.608	偶使捜傷僕
289	屈	1	0.666	屈届月厄住
290	掘	1	0.599	掘挑好探振
291	繰	1	0.507	繰偉壌怪復
292	形	2	0.511	影形モ邪5
293	恵	1	0.599	恵急息思東
294	警	1	0.604	警書普番谷
295	撃	1	0.438	撃乗祭首千
296	激	1	0.455	激避徹堂息
297	傑	1	0.64	傑使僕探傷
298	決	1	0.645	決法凄建夫
299	結	1	0.469	結詰坊精縄
300	血	1	0.897	血立住重通
301	月	1	0.769	月用刃目利
302	件	1	0.608	件仲体休住
303	剣	1	0.754	剣判刺制倒
304	嫌	1	0.491	嫌妙捜横強
305	建	2	0.464	達建違連途
306	検	1	0.54	検換僕険捜
307	肩	1	0.631	肩有屋戻悪
308	見	3	0.329	匠医見野賢
309	賢	2	0.462	普賢苦負奇
310	険	1	0.691	険障噴検暁
311	顕	1	0.3	顕賢通頭頼
312	元	9	0.288	光売俺千奇
313	原	140	0.125	魔簡浮渡酒
314	幻	1	0.447	幻知力剣別
315	現	1	0.569	現理早至モ
316	言	10	0.377	書！重喜警
317	古	1	0.569	古番士土ホ
318	呼	1	0.607	呼噂守味鳴
319	固	1	0.603	固同国回円
320	誇	1	0.407	誇辞精筋勢
321	雇	50	0.27	喜重意遠着
322	後	2	0.478	俺後傷違侍
323	御	1	0.592	御倒刺剣制
324	悟	1	0.599	悟怪格争恨
325	光	1	0.746	光売十支先
326	公	1	0.571	公分会ニ金
327	効	1	0.525	効期辻サ消
328	口	1	0.907	口ロ日目回
329	好	1	0.735	好打嫌妙詳
330	幸	1	0.589	幸束歩参素
331	広	1	0.583	広店恵ご座
332	抗	1	0.617	抗抜拡択折
333	構	1	0.607	構借僕情書
334	考	1	0.827	考者育専素
335	荒	1	0.512	荒受！金葉
336	行	1	0.727	行折侍待持
337	高	3	0.491	息恵高直感
338	国	3	0.522	固困国円口
339	骨	1	0.692	骨テそ番特
340	込	1	0.545	込ユ法住血
341	頃	24	0.195	噴十障デ眼
342	今	1	0.532	今金分介奇
343	困	1	0.75	困因円固士
344	恨	1	0.516	恨悟択化犠
345	混	3	0.423	通遅混思過
346	座	1	0.771	座俺ま望空
347	最	2	0.49	見最界足退
348	済	1	0.507	済流凄渋満
349	祭	1	0.417	祭整悟笑襲
350	細	1	0.624	細相側御剣
351	在	3	0.481	立守在さ牲
352	作	1	0.79	作体休俺件
353	索	1	0.541	索表素変声
354	察	1	0.399	察東悟祭獲
355	殺	1	0.597	殺短追投速
356	傘	3	0.418	命永傘来華
357	参	30	0.277	を十ち安念
358	散	1	0.542	散敵触前妙
359	斬	2	0.51	新斬断チデ
360	残	1	0.542	残怪住迷壁
361	仕	1	0.663	仕辻他住迷
362	使	2	0.51	俺使侍連儀
363	刺	1	0.644	刺剣制判動
364	士	5	0.556	十上千土士
365	始	1	0.362	始妙剣生焼
366	姿	1	0.564	姿書寝装待
367	子	1	0.7	子モ了下テ
368	師	1	0.515	師ほ評げ話
369	思	1	0.697	思里愚恐見
370	支	1	0.7	支立安堂丈
371	止	1	0.819	止正上土士
372	死	20	0.245	光ぇえて売
373	私	1	0.524	私秋秘怯払
374	紫	1	0.479	紫葉素ャ幸
375	至	3	0.455	上全至整千
376	視	1	0.501	視換捜検楼
377	事	1	0.702	事裏察声索
378	似	1	0.54	似血傷儀他
379	侍	1	0.58	侍件俺依仲
380	持	1	0.561	持侍棒待捜
381	時	1	0.636	時障暗暁味
382	次	1	0.539	次吹水決六
383	示	3	0.374	手全示テ永
384	耳	2	0.428	真耳喜貸行
385	自	1	0.679	自肉内空円
386	辞	1	0.734	辞静詳歩無
387	失	1	0.699	失先夫丈古
388	実	1	0.639	実笑デ年支
389	射	1	0.652	射対前討新
390	者	1	0.738	者考有着事
391	邪	1	0.671	邪元混届屈
392	借	1	0.637	借俺僕書十
393	若	3	0.505	苦普若着奇
394	主	1	0.643	主里生上重
395	取	1	0.437	取面両射願
396	守	1	0.735	守安デ奇身
397	手	1	0.744	手平果小束
398	酒	1	0.461	酒溜危病追
399	首	4	0.362	書方堂首普
400	受	1	0.481	受今金全上
401	呪	1	0.7	呪唱眠吹吸
402	収	1	0.509	収救奴起我
403	周	1	0.676	周用月屈即
404	秋	1	0.453	秋飲欲段R
405	終	1	0.481	終絡縄許R
406	襲	2	0.328	堂襲魔壁顔
407	酬	1	0.688	酬側細引剣
408	集	1	0.651	集実裏声索
409	住	1	0.775	住件生血休
410	十	1	0.941	十千子チ末
411	従	1	0.641	従住血逆怪
412	渋	1	0.493	渋十法済熱
413	重	1	0.686	重土士止里
414	銃	1	0.552	銃技続抗彼
415	宿	1	0.62	宿借造情追
416	出	1	0.69	出上土士…
417	初	1	0.528	初知期制側
418	所	1	0.69	所争斬新断
419	緒	1	0.519	緒精縛俺情
420	書	1	0.721	書首普番倉
421	助	1	0.52	助効制動剣
422	女	1	0.566	女サ々士せ
423	除	1	0.613	除障険隠呼
424	傷	1	0.62	傷像借偶単
425	勝	1	0.637	勝跡整詳勢
426	匠	4	0.325	ビピヒ匠正
427	唱	1	0.67	唱頃噂吸暗
428	小	1	0.725	小ホ十不水
429	少	1	0.593	少小十歩ゃ
430	承	1	0.735	承示不ホ下
431	消	1	0.659	消追造溜調
432	焼	1	0.592	焼銃競捜奇
433	笑	1	0.563	笑婆実年デ
434	証	1	0.686	証評狙ユ正
435	詳	1	0.476	詳評許件れ
436	障	1	0.498	障隠除険暗
437	上	1	0.744	上土士主モ
438	丈	1	0.639	丈立主生ず
439	乗	2	0.468	千乗十重華
440	場	1	0.691	場傷壊境単
441	壌	6	0.272	始接好祭視
442	情	3	0.442	精頼情犠視
443	触	1	0.579	触せ牲静セ
444	伸	1	0.767	伸仲件休体
445	信	1	0.56	信傷悟像情
446	寝	1	0.463	寝書犠特呼
447	心	1	0.654	心るぁろも
448	振	1	0.546	振択抵操推
449	新	1	0.597	新斬緋絡料
450	深	1	0.484	深運反戻理
451	真	1	0.564	真負驚葉倉
452	神	1	0.652	神押仲排伸
453	身	41	0.295	良首静真貸
454	人	1	0.789	人入大火夫
455	刃	1	0.689	刃刀円天周
456	吹	1	0.56	吹味時険暗
457	推	1	0.517	推排楼操検
458	水	2	0.533	永水十末京
459	数	1	0.446	数前む血彼
460	世	2	0.572	士世土生上
461	凄	1	0.406	凄迷壊連遠
462	制	1	0.574	制剣判刺利
463	勢	1	0.555	勢料警熱番
464	整	1	0.752	整空重立壁
465	正	1	0.629	正エ止ェ上
466	牲	1	0.813	牲住立さ生
467	生	1	0.851	生主企土堂
468	精	1	0.475	精棒情嫌構
469	声	1	0.665	声年東無実
470	静	1	0.665	静蘇辞好繰
471	跡	1	0.57	跡踏熱勝路
472	接	1	0.592	接機持捜棒
473	折	1	0.682	折行持択抵
474	先	2	0.584	光先夫失俺
475	千	1	0.776	千チ十モそ
476	専	2	0.473	喜専裏4事
477	戦	4	0.275	せ地蔵戦魔
478	船	1	0.478	船結筋絡的
479	選	3	0.374	里上選運至
480	前	1	0.656	前血対首射
481	然	1	0.552	然黙件熱部
482	全	1	0.548	全上企十止
483	狙	1	0.51	狙上追近抵
484	素	1	0.478	素堂驚者喜
485	蘇	1	0.497	蘇解好争酬
486	双	5	0.342	刀顕モ天双
487	倉	1	0.668	倉急息堂念
488	層	1	0.568	層屋悪モ原
489	想	1	0.642	想望怒短ぜ
490	捜	3	0.438	持接捜機押
491	操	1	0.73	操換推繰排
492	早	1	0.648	早果界乗平
493	争	2	0.526	千争華十子
494	相	4	0.425	押期倒相抵
495	装	1	0.678	装袋苦姿寝
496	騒	1	0.48	騒駆最5願
497	像	1	0.507	像他傷俺捜
498	蔵	6	0.299	若驚延起葉
499	造	6	0.379	血透普主達
500	側	1	0.748	側倒偶働酬
501	即	1	0.63	即周刃刀口
502	息	1	0.557	息身意恵空
503	束	1	0.644	束鬼東来察
504	足	1	0.636	足モ里正2
505	速	1	0.538	速連達途運
506	続	1	0.398	続俺技競彼
507	存	1	0.516	存作体ぴ復
508	他	1	0.693	他俺像使住
509	多	1	0.536	多千争ろ子
510	打	1	0.582	打持抗折待
511	体	1	0.786	体休ォオ件
512	対	1	0.811	対射討血料
513	待	2	0.433	侍待件普俺
514	袋	18	0.267	谷境生使襲
515	貸	177	0.165	普書谷首奇
516	退	1	0.609	退血上里返
517	代	1	0.754	代他仕偶住
518	大	3	0.533	火天大士土
519	題	8	0.31	短顔魔頼座
520	択	1	0.64	択折抵捜振
521	叩	1	0.859	叩明同門関
522	達	1	0.554	達違連遠途
523	谷	1	0.531	谷む首答整
524	誰	1	0.395	誰至議生討
525	単	1	0.689	単東末恵果
526	探	1	0.605	探操振投挟
527	短	1	0.64	短汚悟理地
528	弾	2	0.433	張弾評外員
529	断	1	0.488	断新斬味険
530	段	1	0.408	段9船殺O
531	男	1	0.583	男平用果戻
532	知	1	0.662	知和約月怯
533	地	2	0.473	他地辻途血
534	致	6	0.335	数難整望普
535	遅	1	0.497	遅運過連退
536	着	1	0.613	着奇表華書
537	中	1	0.956	中内ネ…キ
538	仲	1	0.83	仲件伸住押
539	張	1	0.512	張正子強里
540	挑	1	0.552	挑排抗抜段
541	調	1	0.634	調周戻制要
542	直	5	0.379	上者霊立直
543	珍	1	0.476	珍68Cぎ
544	追	1	0.578	追血造途過
545	痛	3	0.522	満病痛浪傷
546	通	1	0.584	通過途選遅
547	辻	1	0.558	辻仕迷止途
548	定	1	0.613	定全止上空
549	底	1	0.583	底座恵怒慮
550	抵	1	0.598	抵近折上操
551	敵	1	0.428	敵む院断時
552	的	1	0.616	的約内肉同
553	徹	9	0.278	金全土セ士
554	天	35	0.24	千チデァ笑
555	店	1	0.569	店空座恵慮
556	電	122	0.201	堂書首番倉
557	渡	1	0.48	渡主達手生
558	途	1	0.584	途追血遠速
559	度	1	0.639	度恵境捜壊
560	土	1	0.87	土上士止全
561	奴	2	0.423	好奴妙始視
562	怒	3	0.319	悲恐怒急2
563	倒	1	0.688	倒側働剣酬
564	刀	1	0.772	刀刃円因コ
565	島	1	0.425	島危声重座
566	投	1	0.51	投段操役楼
567	東	2	0.579	声東空実重
568	当	1	0.497	当上全止十
569	答	1	0.443	答書警有待
570	討	33	0.234	行誇む勝特
571	踏	1	0.706	踏路詰跡結
572	逃	1	0.547	逃上選立土
573	透	1	0.537	透重血選逃
574	頭	130	0.112	顔頼通簡魔
575	闘	1	0.656	闘開関問間
576	働	1	0.581	働側倒御動
577	動	1	0.727	動勘制剣判
578	同	1	0.78	同固国回聞
579	堂	1	0.816	堂立生主上
580	特	1	0.564	特精縛貸情
581	届	1	0.704	届月里屈理
582	内	1	0.838	内肉中凶自
583	謎	137	0.118	壁制立生重
584	縄	2	0.417	俺縄棒傷痛
585	難	15	0.269	離セ整建静
586	汝	1	0.526	汝オ近途違
587	肉	1	0.722	肉自内円出
588	日	2	0.702	円日門口同
589	入	7	0.462	人火夫え大
590	熱	1	0.392	熱無散教敵
591	年	1	0.736	年ま幸傘単
592	念	1	0.549	念息土急恵
593	能	1	0.634	能乱飲離俺
594	派	1	0.601	派激滅冷敵
595	婆	1	0.52	婆怪整喜悟
596	排	1	0.56	排推挑押換
597	配	1	0.371	配2とビヒ
598	売	2	0.521	光売俺デチ
599	縛	1	0.607	縛縄俺構精
600	発	50	0.238	光俺奇覚姿
601	抜	1	0.605	抜抗排技血
602	判	3	0.654	制刺判剣利
603	反	132	0.144	止行ど望上
604	犯	225	0.062	近択抵行上
605	番	1	0.578	番手書金重
606	彼	1	0.504	彼体住技徹
607	悲	1	0.581	悲急怒恵ぜ
608	疲	6	0.299	途壁汚溜酒
609	秘	8	0.255	化挑生小協
610	緋	1	0.585	緋排誰御僕
611	避	1	0.505	避血徹重空
612	必	10	0.263	心ぁもお立
613	表	27	0.305	者裏実鬼完
614	評	1	0.522	評戻許界要
615	病	1	0.521	病声痛競店
616	品	1	0.535	品見元男厄
617	浜	2	0.427	近浜無獲浮
618	不	3	0.425	千下不ろて
619	夫	1	0.626	夫光支失デ
620	普	1	0.61	普奇着デ書
621	浮	1	0.624	浮器違帰達
622	負	8	0.333	悟員危苦換
623	武	1	0.687	武受大女危
624	部	1	0.583	部判安望デ
625	風	9	0.395	思里至重足
626	復	4	0.373	像僕後復借
627	幅	1	0.595	幅縄好理悟
628	払	1	0.527	払抗拡込技
629	物	1	0.651	物神牲約特
630	分	1	0.718	分公普外身
631	噴	1	0.712	噴噂障鳴険
632	雰	108	0.165	堂念倉書首
633	文	2	0.534	立文支プ丈
634	聞	2	0.68	問聞門開間
635	平	3	0.446	千争平来子
636	壁	1	0.59	壁整堂重金
637	別	1	0.652	別利期消判
638	変	1	0.568	変空普育望
639	返	8	0.359	近血避土重
640	舗	1	0.681	舗簡静縄焼
641	歩	2	0.483	十歩千小子
642	報	1	0.529	報細頼新相
643	放	2	0.354	血放他住彼
644	方	1	0.806	方古おぉ六
645	法	1	0.541	法ま悲透怯
646	坊	3	0.359	銃排坊知挟
647	暴	2	0.558	子暴早里平
648	望	1	0.739	望堂生主空
649	棒	1	0.657	棒俺件捜使
650	僕	1	0.671	僕俺傷偶達
651	没	2	0.364	役没途理正
652	本	1	0.795	本水ホネず
653	魔	1	0.625	魔重慮着滅
654	末	1	0.711	末夫十乗支
655	満	1	0.567	満流痛違真
656	味	1	0.702	味吹ま噴鳴
657	密	1	0.634	密書京空望
658	妙	1	0.519	妙好始嫌打
659	眠	1	0.486	眠吸眼呪唱
660	無	11	0.331	体難伸負作
661	名	1	0.464	名企金主生
662	命	1	0.464	命今緒徹事
663	明	1	0.732	明叩門問間
664	迷	1	0.606	迷造途上込
665	鳴	1	0.55	鳴噴噂味暁
666	滅	1	0.454	滅六黙文怯
667	面	22	0.235	溜上筋簡モ
668	黙	1	0.56	黙然熱件無
669	目	1	0.737	目因囲回困
670	戻	16	0.28	驚裏解僕襲
671	問	1	0.885	問間門開関
672	門	1	0.85	門聞円同闘
673	野	1	0.702	野行緊モ匠
674	厄	2	0.39	近厄避遠ニ
675	役	1	0.481	役投途復段
676	約	1	0.506	約的側代続
677	友	1	0.579	友支立方た
678	有	1	0.452	有方支友書
679	様	16	0.361	作楼棒僕抜
680	用	1	0.691	用月引足周
681	葉	1	0.617	葉驚負真堂
682	要	13	0.268	書望警襲捜
683	踊	1	0.501	踊国円日困
684	欲	1	0.562	欲飲放数触
685	来	1	0.692	来夫幸失実
686	頼	1	0.609	頼報顔精絡
687	絡	2	0.4	格絡書終悟
688	落	1	0.449	落千浮年遠
689	乱	1	0.696	乱と至全我
690	利	1	0.807	利和初礼乱
691	理	1	0.621	理現運屋他
692	裏	5	0.365	負書驚単裏
693	里	1	0.637	里足重土屋
694	離	1	0.337	離速射対競
695	立	1	0.85	立堂生血主
696	流	1	0.431	流達速普焼
697	溜	7	0.337	違達俺遠連
698	慮	1	0.577	慮魔書堂本
699	了	1	0.848	了子7下正
700	両	4	0.277	簡高チ両延
701	料	1	0.753	料対精斬射
702	療	1	0.482	療度解連像
703	良	1	0.623	良追鬼金血
704	力	3	0.593	カヵ力大刃
705	冷	1	0.638	冷ん追途緒
706	礼	1	0.516	礼止視相払
707	霊	43	0.247	堂立主生書
708	連	1	0.605	連達運違俺
709	路	2	0.415	整路絡空座
710	楼	1	0.559	楼件侍持住
711	浪	2	0.494	追浪造凄速
712	郎	1	0.538	郎部怒起簡
713	六	3	0.478	大ヵ六カナ
714	和	1	0.635	和利知物秘
715	話	1	0.507	話詰堂全始
716	腕	1	0.59	腕座整筋簡
